location,job,comp,salary,anual_salary,city
"Belmont, CA",Principal Data Scientist160000,Workbridge Associates,"$120,000 - $160,000 a year",140000,Belmont
"Oakland, CA",Full-stack designer,Even,"$34,142 a year",34142,Oakland
"San Francisco, CA 94105 (Financial District area)",Java Engineer,TEKSystems,$50 - $70 an hour,115200,San Francisco
"San Francisco, CA",Data Science (Human Computation),Workbridge Associates,"$140,000 - $180,000 a year",160000,San Francisco
"Berkeley, CA",Assistant/Associate Project Scientist - Berkeley Seismological Lab,University of California Berkeley,"$54,800 - $70,900 a year",62850,Berkeley
"San Francisco, CA",Save lives as a software engineer,Blue Owl,"$200,000 - $300,000 a year",250000,San Francisco
"New York, NY",Data Analytics Research Scientist,POLICE DEPARTMENT,"$70,286 - $88,213 a year",79249.5,New York
"Manhattan, NY","Special Assistant, Bureau of Vital Statistics",DEPT OF HEALTH/MENTAL HYGIENE,"$59,708 - $72,246 a year",65977,Manhattan
"New York, NY",Chief Data Scientist,Workbridge Associates,"$110,000 - $140,000 a year",125000,New York
"New York, NY",Research Staff Assistant,Columbia University,"$33,650 a year",33650,New York
"New York, NY 10167 (Midtown area)",Quantitative Research дус Machine Learning,Selby Jennings,"$150,000 - $250,000 a year",200000,New York
"New York, NY","Data Analyst, Bureau of Primary Care Access & Planning (PCAP)",DEPT OF HEALTH/MENTAL HYGIENE,$38.47 - $48.28 an hour,,New York
"New York, NY 10167 (Midtown area)",Quantitative Analyst - Multiple Vacancies,Selby Jennings,"$120,000 a year",120000,New York
"New York, NY",Data Science Engineer,Workbridge Associates,"$145,000 - $185,000 a year",165000,New York
"Manhattan, NY",Policy Data Analyst,DEPARTMENT OF FINANCE,"$68,239 - $80,000 a year",74119.5,Manhattan
"New York, NY",City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,"$70,286 - $88,213 a year",79249.5,New York
"New York, NY","Data Analyst, Bureau of Mental Health/Research and Evaluation",DEPT OF HEALTH/MENTAL HYGIENE,"$70,286 - $88,213 a year",79249.5,New York
"Manhattan, NY",POLICY AND OPERATIONS RESEARCH | ANALYST,OFFICE OF MANAGEMENT & BUDGET,"$65,433 - $91,588 a year",78510.5,Manhattan
"Manhattan, NY",SENIOR RESEARCH ASSOCIATE,HRA/DEPT OF SOCIAL SERVICES,"$78,630 - $90,000 a year",84315,Manhattan
"New York, NY",City Research Scientist II,City of New York,"$70,286 - $85,664 a year",77975,New York
"New York, NY",Senior Technician - CLM,Columbia University,$886 a week,46072,New York
"New York, NY",Research Analyst,Smith Arnold Partners,"$50,000 - $65,000 a year",57500,New York
"New York, NY","Child Care Data Analyst, Bureau of Childcare",DEPT OF HEALTH/MENTAL HYGIENE,"$57,969 - $70,142 a year",64055.5,New York
"Manhattan, NY",Capacity Building Analyst,DEPT OF YOUTH & COMM DEV SRVS,"$68,239 - $85,644 a year",76941.5,Manhattan
"New York, NY",Forestry Program Manager,DEPT OF ENVIRONMENT PROTECTION,"$83,887 - $113,725 a year",98806,New York
"New York, NY",REVENUE ANALYST (STATISTICAL/ ECONOMETRICS MODELING REQUIRED)...,Parker and Lynch,"$75,000 - $100,000 a year",87500,New York
"New York, NY",Big Data Engineer,Harnham,"$110,000 a year",110000,New York
"Manhattan, NY","Senior Environmental Surveillance Analyst, Bureau of Childcare",DEPT OF HEALTH/MENTAL HYGIENE,"$76,340 - $100,322 a year",88331,Manhattan
"Manhattan, NY",Manager of Statistical Data,DEPT OF INFO TECH & TELECOMM,"$53,051 - $105,000 a year",79025.5,Manhattan
"New York, NY","Coordinator / Lead Scientist, Municipal Storm Sewer Systems",POLICE DEPARTMENT,"$78,630 - $103,332 a year",90981,New York
"New York, NY 10167 (Midtown area)",Research Scientist - High Frequency Trading,Selby Jennings,"$175,000 - $250,000 a year",212500,New York
"New York, NY",Juvenile Justice Senior Analyst,ADMIN FOR CHILDREN'S SVCS,"$70,286 - $88,213 a year",79249.5,New York
"New York, NY",Quantitative Business Analyst,JEG Search,"$55,000 - $65,000 a year",60000,New York
"Manhattan, NY","Recruitment Coordinator, World Trade Center Health Registry",DEPT OF HEALTH/MENTAL HYGIENE,"$70,286 - $88,213 a year",79249.5,Manhattan
"New York, NY",Predictive Risk Analyst,ADMIN FOR CHILDREN'S SVCS,"$68,239 - $85,644 a year",76941.5,New York
"New York, NY",Deputy Director of Provider Outcomes,ADMIN FOR CHILDREN'S SVCS,"$68,239 - $85,644 a year",76941.5,New York
"New York, NY 10001 (Chelsea area)","Sr Process Scientist, Downstream Purification MSAT",Laguna Source,"$113,000 - $136,000 a year",124500,New York
"New York, NY",Senior Research Worker - Endocrinology,Columbia University,"$1,088 a week",56576,New York
"New York, NY 10016 (Gramercy area)",Research Analyst,Green Key Resources,"$70,000 - $90,000 a year",80000,New York
"New York, NY",Child Welfare Analyst,ADMIN FOR CHILDREN'S SVCS,"$68,239 - $85,644 a year",76941.5,New York
"New York, NY 10167 (Midtown area)",Quantitative Business Analyst - Investment Bank,Selby Jennings,"$80,000 - $110,000 a year",95000,New York
"New York, NY 10016 (Gramercy area)",Senior Data Scientist for Fortune 500 Company,Averity,"$95,000 - $120,000 a year",107500,New York
"New York, NY","Director, Data Scientist Modeler",Harnham,"$180,000 a year",180000,New York
"New York, NY 10167 (Midtown area)",Java Engineer - Asset Management Firm,Selby Jennings,"$120,000 - $170,000 a year",145000,New York
"New York, NY 10167 (Midtown area)",Equity Research Analyst дус Healthcare,Selby Jennings,"$150,000 - $200,000 a year",175000,New York
"Dallas, TX",Catastrophe Risk Analyst - Quantitative,Selby Jennings,"$75,000 - $120,000 a year",97500,Dallas
"Dallas, TX",Senior Marketing Data Scientist,All-In Analytics,"$80,000 - $100,000 a year",90000,Dallas
"Dallas-Fort Worth, TX",Data Science Director,Oscar Technology,"$180,000 a year",180000,Dallas-Fort Worth
"Irving, TX",Statistician,Collaborative LLC,$35 an hour,67200,Irving
"Irving, TX 75063",Pricing and Quantitative Analyst,NextStep Recruiting,"$85,000 a year",85000,Irving
"Irving, TX 75038",Senior Statistical Data Coordinator,Boy Scouts of America,"$45,000 - $55,000 a year",50000,Irving
"Plano, TX","Genetic Counselor, Clinical Genomics",Lighthouse Recruiting,"$80,000 - $110,000 a year",95000,Plano
"Philadelphia, PA",Auto Risk Data Scientist,All-In Analytics,"$100,000 - $125,000 a year",112500,Philadelphia
"Philadelphia, PA",Data Scientist (NLP Specialist),Jobspring Partners,$40 - $50 an hour,86400,Philadelphia
"Philadelphia, PA",Research Scientist - Research & Evaluation Group,Public Health Management Corporation,"$70,000 a year",70000,Philadelphia
"Philadelphia, PA",Quantitative Research Analyst,Liberty Personnel Services,"$140,000 a year",140000,Philadelphia
"Philadelphia, PA","Sr. Director, Statistical Innovation",Penfield Search Partners,"$220,000 a year",220000,Philadelphia
"Fort Washington, PA",Lead Statistical Programmer,Real Staffing,"$100,000 - $120,000 a year",110000,Fort Washington
"Philadelphia, PA",Data Scientist needed for Tech Medical Company!,Jobspring Partners,$60 - $70 an hour,124800,Philadelphia
"Radnor, PA",Algorithm and Optimization Developer,Workbridge Associates,"$100,000 - $120,000 a year",110000,Radnor
"Philadelphia, PA",Senior Business Systems Architect (Hadoop Developer),Wolfe & Huntsman LLC,"$155,000 a year",155000,Philadelphia
"Spring House, PA",Scientist II,"NewAgeSys,Inc","$60,000 a year",60000,Spring House
"Fort Washington, PA",Analytical Chemist,Tech USA,$30 an hour,57600,Fort Washington
"King of Prussia, PA","Sr. Mgr./Mgr., Statistician-SFE --PHARMA",Smith Hanley Associates,"$100,000 - $120,000 a year",110000,King of Prussia
"Philadelphia, PA 19107 (City Center East area)",UI/UX Engineer (D3.js),JUNO Search Partners,"$100,000 a year",100000,Philadelphia
"Philadelphia, PA",Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge Fund,Averity,"$200,000 - $300,000 a year",250000,Philadelphia
"Philadelphia, PA 19107 (City Center East area)",Full Stack Software Engineer,JUNO Search Partners,"$100,000 a year",100000,Philadelphia
"Denver, CO",Research/Data Analyst - Trails Modernization,Colorado Department of Human Services,"$5,005 - $6,166 a month",67026,Denver
"Denver, CO",SENIOR RESEARCH ANALYST AND DATA STRATEGIST,Denver Public Schools,$33.69 an hour,,Denver
"Aurora, CO",Senior Informatics Analyst,University of Colorado,"$68,000 a year",68000,Aurora
"Boulder, CO",Health & Human Sciences Librarian,University of Colorado,"$50,500 a year",50500,Boulder
"Denver, CO 80204 (Central West Denver area)",RN-Statistical Research Specilist Nursing,Denver Health,"$66,654 a year",66654,Denver
"Aurora, CO 80011 (Norfolk Glen area)",Food / Flavor Application Scientist,MycoTechnology,"$50,000 a year",50000,Aurora
"Los Angeles, CA 90032",SENIOR DASHBOARD DATA SCIENTIST,"California State University, Los Angeles","$6,249 - $10,857 a month",102636,Los Angeles
"Fullerton, CA",Research Grants Specialist (Administrative Analyst/Specialist - Exempt II),California State University - Fullerton,"$4,693 - $7,617 a month",73860,Fullerton
"Los Angeles, CA","RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Human Resources,"$57,274 - $71,152 a year",64213,Los Angeles
"Los Angeles, CA",SUPERVISING CLINICAL LABORATORY SCIENTIST III,Los Angeles County Human Resources,"$84,336 - $110,616 a year",97476,Los Angeles
"Los Angeles, CA",HUMAN RESOURCES ANALYST IV - Test Research,Los Angeles County Department of Human Resources,"$90,598 - $118,819 a year",104708.5,Los Angeles
"Los Angeles, CA","RESEARCH ANALYST III, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"$73,286 - $86,231 a year",79758.5,Los Angeles
"Los Angeles, CA",SUPERVISING CLINICAL LABORATORY SCIENTIST III,Los Angeles County Department of Human Resources,"$84,336 - $110,616 a year",97476,Los Angeles
"Los Angeles, CA",Quantitative Analyst - Multiple Vacancies,Selby Jennings,"$120,000 a year",120000,Los Angeles
"Los Angeles, CA 90046",Sr. Data Science Manager,Soothe,"$100,000 - $150,000 a year",125000,Los Angeles
"Fullerton, CA",Research Grants Specialist (Administrative Analyst/Specialist - Exempt II),Cal State Fullerton,"$4,693 - $7,617 a month",73860,Fullerton
"Long Beach, CA",PUBLIC HEALTH ASSOCIATE III - CHEMIST (NON-CAREER/UNCLASSIFIED),"City of Long Beach, CA",$25.52 - $34.65 an hour,,Long Beach
"Los Angeles, CA","RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH",Los Angeles County Human Resources,"$50,010 - $62,134 a year",56072,Los Angeles
"Los Angeles, CA",CLINICAL LABORATORY SCIENTIST I (Blood Bank),Los Angeles County Department of Human Resources,"$6,322 a month",75864,Los Angeles
"Los Angeles, CA","RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH",Los Angeles County Department of Human Resources,"$50,010 - $62,134 a year",56072,Los Angeles
"Culver City, CA 90230",Data Engineer,HIRECLOUT,"$100,000 - $160,000 a year",130000,Culver City
"Los Angeles, CA",Hourly Clinical Laboratory Scientist (I or II) (Continuous) (Job ID 5146),CSU Northridge,$25.25 - $36.00 an hour,,Los Angeles
"Los Angeles, CA","CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"$73,107 - $95,884 a year",84495.5,Los Angeles
"Los Angeles, CA","CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",Los Angeles County Human Resources,"$73,107 - $95,884 a year",84495.5,Los Angeles
"Los Angeles, CA",Senior Data Scientist,LT,"$180,000 a year",180000,Los Angeles
"Los Angeles, CA 90021",Lead C# developer for cloud healthcare platform,Traffk,"$130,000 a year",130000,Los Angeles
"Rowland Heights, CA 91748",Chemical Industry Market Research Analyst,QYResearch,"$60,000 a year",60000,Rowland Heights
"Rowland Heights, CA 91748",Market Research Analyst,QYResearch,"$50,000 a year",50000,Rowland Heights
"Los Angeles, CA",Senior Research Analyst,Tessie Cleveland Community Service Corporation,"$56,000 a year",56000,Los Angeles
"Rowland Heights, CA 91748",Automotive industry market research analyst,QYResearch,"$50,000 a year",50000,Rowland Heights
"Chatsworth, CA 91311",Research Analyst,Phillips Graduate University,"$50,000 - $60,000 a year",55000,Chatsworth
"Pittsburgh, PA",Program Statistician,The University of Pittsburgh,"$30,732 - $49,296 a year",40014,Pittsburgh
"Pittsburgh, PA",Research Technician,The University of Pittsburgh,"$30,732 - $49,296 a year",40014,Pittsburgh
"Dublin, OH 43017",Pricing Research Analyst,Fast Switch,$17.50 an hour,,Dublin
"Coral Gables, FL",Sr. Research Analyst,University of Miami,"$40,000 - $72,000 a year",56000,Coral Gables
"Coral Gables, FL",Statistical Programmer,University of Miami,"$32,900 a year",32900,Coral Gables
"Coral Gables, FL",(Temporary) Research Analyst,University of Miami,"$38,750 - $62,000 a year",50375,Coral Gables
"Coral Gables, FL",Scientist,University of Miami,"$77,600 - $139,600 a year",108600,Coral Gables
"Coral Gables, FL",Lead Research Analyst (Biostatistics),University of Miami,"$77,600 - $108,600 a year",93100,Coral Gables
"Coral Gables, FL",Research Analyst,University of Miami,"$32,900 - $59,100 a year",46000,Coral Gables
"Coral Gables, FL",Sr. Research Analyst / Pre-award Grants,University of Miami,"$40,000 - $72,000 a year",56000,Coral Gables
"Miami Lakes, FL",Quantitative Financial Analyst,The Bachrach Group,"$80,000 a year",80000,Miami Lakes
"Miami, FL",Statistical Operations Research Analyst,Smith Hanley Associates,"$75,000 - $95,000 a year",85000,Miami
"Miami, FL",Librarian Research Analyst,Morgan Stephens,"$75,000 - $85,000 a year",80000,Miami
"Miami, FL",QC Chemist,Staffing Resource Group,"$50,000 a year",50000,Miami
"Atlanta, GA 30341",Associate Research Analyst,CSTE,"$51,706 a year",51706,Atlanta
"Atlanta, GA",Mathematical Statistician,Centers for Disease Control and Prevention,"$74,260 - $114,802 a year",94531,Atlanta
"Atlanta, GA","Scientist, Med Imag Analysis",Emory University,"$69,900 a year",69900,Atlanta
"Atlanta, GA",Epidemiologist,Centers for Disease Control and Prevention,"$74,260 - $96,538 a year",85399,Atlanta
"Atlanta, GA",Sponsored Research Financial Analyst,Emory University,"$66,700 a year",66700,Atlanta
"Atlanta, GA",Audit Snr (Banking) - Data Analysis 60K-80K,Synergy Search Group,"$80,000 a year",80000,Atlanta
"Atlanta, GA",Market Research & Sales Analyst,Interesse International Inc,"$60,000 - $70,000 a year",65000,Atlanta
"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,"$55,000 - $70,000 a year",62500,Smyrna
"Seattle, WA",HUMAN RESOURCE COORDINATOR,University of Washington,$15.80 - $20.97 an hour,,Seattle
"Bellevue, WA",TMDL Lead (Environmental Specialist 4),State of Washington,"$48,060 - $63,036 a year",55548,Bellevue
"Seattle, WA",RESEARCH STUDY COORDINATOR 1,University of Washington Medical Center,"$2,805 - $3,727 a month",39192,Seattle
"Seattle, WA",RECORDS CENTER SPECIALIST,University of Washington Medical Center,"$3,007 - $4,008 a month",42090,Seattle
"Seattle, WA",RESEARCH ANALYST 1,University of Washington,"$2,739 - $3,635 a month",38244,Seattle
"Seattle, WA",Data Scientist - Engineering,Harvey Nash USA,"$120,000 - $130,000 a year",125000,Seattle
"Seattle, WA",Research Analyst,Smith Arnold Partners,"$50,000 - $65,000 a year",57500,Seattle
"Seattle, WA",MEDICAL LABORATORY SCIENTIST LEAD,University of Washington,"$5,168 - $7,393 a month",75366,Seattle
"Seattle, WA",SERVICE DESK ANALYST,University of Washington,"$3,635 - $4,888 a month",51138,Seattle
"Seattle, WA",MEDICAL LABORATORY SCIENTIST 1 OR TRAINEE,University of Washington,"$4,319 - $6,183 a month",63012,Seattle
"Seattle, WA",CLINICAL TECHNOLOGIST LEAD - COAGULATION,University of Washington Medical Center,"$5,168 - $7,393 a month",75366,Seattle
"Seattle, WA",MEDICAL LABORATORY SCIENTIST-TRAINEE OR 1,University of Washington Medical Center,"$4,319 - $6,183 a month",63012,Seattle
"Seattle, WA",MEDICAL LABORATORY SCIENTIST 1,University of Washington Medical Center,"$4,495 - $6,433 a month",65568,Seattle
"Bellevue, WA",Data Science Instructor (Local Candidates ONLY),Z2 DataLabs,$150 an hour,288000,Bellevue
"Seattle, WA","Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging)",Cutting Edge Medical Diagnostics,"$140,000 a year",140000,Seattle
"Austin, TX",Senior Research Scientist,University of Texas at Austin,"$6,667 a month",80004,Austin
"Austin, TX",Engineering Scientist - GPS Data Analyst,University of Texas at Austin,"$6,250 - $10,833 a month",102498,Austin
"Austin, TX",Medical Research Specialist,Dept of State Health Services,"$4,917 - $6,489 a month",68436,Austin
"Austin, TX",Engineering Scientist Associate - R and D Software Developer,University of Texas at Austin,"$5,400 - $6,500 a month",71400,Austin
"Austin, TX",Engineering Scientist - GPS and GNSS Data Analyst,University of Texas at Austin,"$6,250 - $10,833 a month",102498,Austin
"Austin, TX",Senior Systems Administrator,University of Texas at Austin,"$5,833 a month",69996,Austin
"Austin, TX",Engineering Scientist Associate - Remote Sensing Computational Analyst,University of Texas at Austin,"$5,400 - $6,500 a month",71400,Austin
"Austin, TX",Senior Statistical Analyst,Health & Human Services Comm,"$5,259 - $6,941 a month",73200,Austin
"Austin, TX",Senior Machine Learning Data Scientist,All-In Analytics,"$140,000 - $160,000 a year",150000,Austin
"Austin, TX",Engineering Scientist Associate - System Support Engineering Associate,University of Texas at Austin,"$5,400 - $6,500 a month",71400,Austin
"Austin, TX",Research Analyst,Smith Arnold Partners,"$50,000 - $65,000 a year",57500,Austin
"Portland, OR 97225 (West Slope area)",Chemical Safety Officer/Lab Assistant,The Catlin Gabel School,$15 an hour,28800,Portland
"Portland, OR",Forensic Scientist 1 (FS1 & FS Entry) Chemistry (Portland),State of Oregon,"$3,904 - $6,869 a month",64638,Portland
"Portland, OR 97213 (Roseway area)",Prospector,Cascade Insights,"$45,000 a year",45000,Portland
"Tempe, AZ",Management Research Analyst,Arizona State University,"$47,476 - $50,000 a year",48738,Tempe
"Dallas, TX",Data Scientist,TEKSystems,"$100,000 - $105,000 a year",102500,Dallas
"Richardson, TX",Research Scientist,University of Texas at Dallas,"$46,000 - $50,000 a year",48000,Richardson
"Denver, CO",Global Marketing Manager - Food Manufacturing,Potatoes USA,"$85,000 a year",85000,Denver
"Azusa, CA",Tester Tech,The Staffing Solutions Group,$13 an hour,24960,Azusa
"Burbank, CA",Software Engineer (Machine Learning/Algorithm Development,Workbridge Associates,"$80,000 - $130,000 a year",105000,Burbank
"Monroe, NC",Sr. Process Scientist дус Molding,Search Solution Group,"$90,000 a year",90000,Monroe
"Charlotte, NC 28203 (Dilworth area)",Senior Data Science Consultant,Sherpa LLC,$80 an hour,153600,Charlotte
"Coral Gables, FL",Assistant Scientist,University of Miami,"$53,900 - $96,900 a year",75400,Coral Gables
"Austin, TX",Research Scientist,University of Texas at Austin,"$4,584 a month",55008,Austin
"Austin, TX",Research Engineering/ Scientist Associate III (Exempt),University of Texas at Austin,"$5,583 a month",66996,Austin
"Portland, OR",Fishery Biologist,Columbia River Inter-Tribal Fish Commission (CRITF...,"$49,751 - $53,067 a year",51409,Portland
